scenarioType,condition,appearances,participants,wins,win_rate,avg_rating,rating_sd,ci_low,ci_high,rating_ci_low,rating_ci_high
daily,baseline,70,62,47.0,0.6714285714285714,7.6,2.273986475939034,0.5441176470588235,0.787900128040973,7.027768264840183,8.135165847665847
daily,body,70,48,26.0,0.37142857142857144,6.242857142857143,2.410338326638251,0.263849043715847,0.47299075391180645,5.698164383561643,6.769285714285714
daily,mind,70,54,40.0,0.5714285714285714,7.271428571428571,1.825118051146588,0.4589993169398907,0.6865904850746267,6.838709677419355,7.681861334867664
daily,soul,85,55,32.0,0.3764705882352941,6.2823529411764705,2.270996030200774,0.267422480620155,0.5,5.734004602991945,6.7865414325842695
daily,full,71,52,38.0,0.5352112676056338,6.704225352112676,2.3077160397066874,0.4241997439180538,0.6470588235294118,6.121611384111384,7.264728860294118
task,baseline,69,60,44.0,0.6376811594202898,7.449275362318841,2.1998411164823732,0.525402889691581,0.7534246575342466,6.9557756166982925,7.971014492753623
task,body,75,49,27.0,0.36,6.613333333333333,2.0327941982041002,0.23880597014925373,0.49295774647887325,6.1058088235294115,7.11547619047619
task,mind,73,52,43.0,0.589041095890411,7.424657534246576,2.223097240208267,0.48717948717948717,0.6901667357083677,6.898554979411316,8.0
task,soul,65,49,23.0,0.35384615384615387,6.292307692307692,2.3030080663875565,0.23809523809523808,0.46431650246305406,5.704119718309859,6.830636173670768
task,full,72,55,40.0,0.5555555555555556,6.944444444444445,2.1354742778212774,0.4461111111111111,0.6666666666666666,6.462632560879812,7.441558441558442
