theme,quote
Audio/ambience,My ideal mental rehearsal guidance to start the day would be a gentle voice telling me that everything will go well today
Audio/ambience,"Having to start the day with an audio message that reminds me of the activities I'm going to do, and then when I'm free being able to read that audio in writing."
Audio/ambience,an ideal rehearsal would be an ambient  background noise while  reading through some guidance .
Brevity and simplicity,A good script with some encouragement and brief steps on what to do for the day. Nothing too hectic and overwhelming
Brevity and simplicity,Something short and punchy. You don't need to fill up a whole page with complicated phrasing. Just give me a sentence or two instead of a long paragraph.
Brevity and simplicity,"Before i start my day, i want a short rehearsal that helps me focus on the most important work ahead."
Calm emotional support,My ideal mental rehearsal guidance to start the day would be a gentle voice telling me that everything will go well today
Calm emotional support,A good script with some encouragement and brief steps on what to do for the day. Nothing too hectic and overwhelming
Calm emotional support,I prefer clear prioritises and clear ideas of tasks to have a clear picture of the day. Some calm and quiet me time to think about my plan of action
Grounding and breath/body,A visualisation of what I want to achieve. A run down of my energy and how I might feel. A structured step by step guide of how I can achieve what I want.
Grounding and breath/body,"Start by noticing my body, senses, surroundings, and breathing.  Then move generally in to the tasks for the day.  Finally, returning to the body and breathing."
Grounding and breath/body,an ideal rehearsal would be an ambient  background noise while  reading through some guidance .
Obstacle coping,"You are enough,  focused and very hard working. You make decisions that produces positive outcomes and that is enough for all the days."
Obstacle coping,"You will have a good day , if it gets to hard for you , get a time out , when you come back again the situation might not seem as hard as before . Just remember you are bigger than whatever you will face."
Other / uncoded,"I do not have any practical experience with this, so I can't share an opinion on this."
Specific to real task/day,"You are enough,  focused and very hard working. You make decisions that produces positive outcomes and that is enough for all the days."
Specific to real task/day,"An overview of what is coming my way, how I'm going to tackle it and how I've already tackled days like today successfully."
Specific to real task/day,I talk about the day ahead and how it is going to go to myself. It helps me focus and understand time and how to spend it.
Step-by-step structure,A good script with some encouragement and brief steps on what to do for the day. Nothing too hectic and overwhelming
Step-by-step structure,I prefer clear prioritises and clear ideas of tasks to have a clear picture of the day. Some calm and quiet me time to think about my plan of action
Step-by-step structure,Something that acknowledges what might have happened in the night and then sets me up for the day step by step in a gentle warm and encouraging tone.
Values/intention,"Before i start my day, i want a short rehearsal that helps me focus on the most important work ahead."
Values/intention,something that focuses on helping me to set a calm and clear intention for the day is a win for me
Visualization,I prefer clear prioritises and clear ideas of tasks to have a clear picture of the day. Some calm and quiet me time to think about my plan of action
Visualization,A visualisation of what I want to achieve. A run down of my energy and how I might feel. A structured step by step guide of how I can achieve what I want.
Visualization,"A clear step by step guide that can help me envision the day and plan and organise myself to make me feel productive from the beginning. Once that has been complete, emotional guidance and support would be perfect."
